,review,date,stars,location,en
0,"Jen málokterá oblast v ČR je tak podmanivá jako Pavlovské vrchy neboli Pálava. Kopce tvořené druhohorními vápenci tu vystupují z roviny a působí na pohled majestátně, ačkoliv nedosahují žádných závratných výšek. Výhledy z Děviček, Sirotčího Hrádku nebo Děvína jsou prostě magické. Vinice, Novomlýnské nádrže, lužní lesy jsou prostě překrásné. Navíc se tu nachází teplomilná fauna a flóra, která se také u nás běžně nevidí (zatím). Každý Čech by měl navštívit Pálavu.",před týdnem,5 hvězdiček,Pálava,"Few areas in the Czech Republic are as captivating as the Pavlov Hills or Pálava.Hills consisting of Mesozoic limestones come out of the plane and look majestic, although they do not reach any dizzying heights.The views from the girls, the orphan's castle or Děvín are simply magical.Vineyards, Nové Mlýny reservoirs, floodplain forests are simply beautiful.In addition, there is a thermophilic fauna and flora, which is also not commonly seen in our country (yet).Every Czech should visit Pálava."
1,"Chráněná krajinná oblast Pálava byla vyhlášena výnosem Ministerstva kultury ČSR ze dne 19. 3. 1976 na území o rozloze 83 km² zahrnujícím hřebeny Pavlovských vrchů, Milovický les a sníženinu jižně od něj až po státní hranici s Rakouskem.",před měsícem,5 hvězdiček,Pálava,"The Pálava Protected Landscape Area was announced by the revenue of the Ministry of Culture of Czechoslovakia of 19 March 1976 in an area of ​​83 km² including the ridges of the Pavlov Hills, Milovice Forest and a reduction south of it to the state border with Austria."
2,Krásné klidné místo pro relax jen pár kroků od lidí.,před 3 týdny,5 hvězdiček,Pálava,Beautiful quiet place for relax just a few steps from people.
3,"Krásná část Jižní Moravy na výletování. Doporučuji třeba zhruba dvaceti kilometrovou trasu z Popic do Mikulova po červené, která vede kolem jezer, přes Děvičky, Sirotčí hrádek, Stolovou horu až třeba na dobrou točenou zmrzlinu v Mikulově ve Zmrzlinových dveřích.",před 11 měsíci,5 hvězdiček,Pálava,"Beautiful part of South Moravia for trip.I recommend about twenty kilometers from Popice to Mikulov along the red, which leads around the lakes, through the girls, the orphanage castle, the Table Mountain except for a good draft ice cream in Mikulov in ice cream doors."
4,"Cestu mezi Milovicemi a Mikulovem zdobí obora s Muflony a daňky. Krásná procházka oborou, oáza klidu! Do obory se dostanete dřevěnými schůdky přes plot. Jen doporučuji si přečíst u vstupu do obory poučení jak se chovat a kde se pohybovat. Je možné, že narazíte na strážce obory, tak ať předejdete problémům 😜 …",před 9 měsíci,5 hvězdiček,Pálava,"The way between Milovice and Mikulov is decorated with a game with mouflon and fallow deer.Beautiful walk through the game park, oasis of peace!The game park can be reached by wooden steps through the fence.I just recommend reading at the entrance to the Learn how to behave and where to move.It is possible that you will encounter the guardians, so let's prevent problems 😜…"
5,"Navštívili jsme Děvičky(Hrad Děvín)zaparkovali jsme na Děvín-Kotel-Soutěska.Male parkoviště mezi Pavlovem a Klentnicemi,u silnice.Šli jsme po zelené,cesta je dobře značená,lehce náročná.",před 11 měsíci,5 hvězdiček,Pálava,"We visited Děvičky (Děvín Castle) on Děvín-Kotel-Soutěta.Male parking between Pavlov and Klentnice, by the road."
6,"Nádherná příroda, krásné místa na výlety.",před měsícem,5 hvězdiček,Pálava,"Beautiful nature, beautiful places for trips."
7,"Nádherné místo v naší zemi. Všechny superlativy jsou vlastně k ničemu. Protože když sem přijedete, tak se prostě zamilujete. Oblast má svou turistickou vizitku.",před 8 měsíci,5 hvězdiček,Pálava,"A wonderful place in our country.All superlatives are actually useless.Because if you come here, you just fall in love.The area has its tourist business card."
8,"Nádherný kus přírody, krásné výhledy. Procházíte lesy plnými krásnych stromů i loukami pokrytými množstvím květin. Nachází se i zde dvě zříceniny, obě stojí za návštěvu. Výšlap zvládnou i malé děti (naše tříletá bez problémů).",před rokem,5 hvězdiček,Pálava,"Beautiful piece of nature, beautiful views.You go through forests full of beautiful trees and meadows covered with a number of flowers.There are also two ruins, both are worth a visit.Even small children can handle the hike (our three -year -old without problems)."
9,"Už to není, co bývalo. Třeba rozsahem ochutnávek a nabízených vín. I jejich kvalitou.",před 2 měsíci,3 hvězdičky,Pálava,"It's not what it used to be.For example, the range of tastings and offered wines.And their quality."
